id,price,class,make,model,category,year,fuelType,mileage,description,city,state,sellerType,listingDateMonth,listingDateYear,url,timestamp
5027185632,45000,8,FREIGHTLINER,CASCADIA 126,Conventional - Sleeper Truck,2018,Electric,588728,"2018 FREIGHTLINER, CASCADIA 126, Heavy Duty Trucks - Sleeper Trucks, DETROIT DD15, Automatic, FLEET MAINTAINED!! ***SINGLE BUNK***Fresh Oil Change,",memphis,TN,Dealer,Jul,2023,https://www.commercialtrucktrader.com/listing/2018-FREIGHTLINER-CASCADIA+126-5027185632,2023-09-08
5027093397,78950,6,ELECTRIC,STEP VAN,Cargo Van,2021,Electric,370,"2021 ELECTRIC STEP VAN, DANA ELEC MOTOR TM4 LSM200C-HV2200 DANA S130 REAR Unit #4173002 Morgan Olson Parcel Body Detailed Spec sheet available upon",alvarado,TX,Dealer,Jul,2023,https://www.commercialtrucktrader.com/listing/2021-ELECTRIC-STEP+VAN-5027093397,2023-09-08
5026686127,49500,7,FREIGHTLINER,BUSINESS CLASS M2 106,Cab Chassis,2017,Electric,230193,"2017 FREIGHTLINER M2 CAB CHASSIS, CUMMINS ISB 260HP, ALLISON 2500HS TRANS., AIR RIDE SUSP., AIRBRAKES, 12K FRONT AXLE, 21K REAR AXLE, 33,000GVW",dallas,TX,Dealer,Jun,2023,https://www.commercialtrucktrader.com/listing/2017-FREIGHTLINER-BUSINESS+CLASS+M2+106-5026686127,2023-09-08
